gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
130,262,5,6.70714e+09,73132.9,57860,3,20,5
140,292,5,9.49638e+09,80295,53459.9,3,20,5
140,294,5,8.7992e+09,75641.1,58914.1,1,20,5
140,282,5,8.79849e+09,77612,57280,3,20,5
140,272,5,8.54817e+09,74882.8,53720.4,2,20,5
140,284,5,8.89027e+09,72571.4,53470.3,4,20,5
10,20,5,8.027e+06,5928.23,5390.73,1,30,5
10,22,5,7.942e+06,7332.09,5140.83,1,30,5
10,20,5,7.289e+06,5625.38,5625.38,0,30,5
10,26,5,1.1611e+07,6751.18,5966.3,1,30,5
10,20,5,1.0595e+07,8128.46,6798.58,1,30,5
20,42,5,2.4555e+07,13523.3,11651.4,1,30,5
20,44,5,6.309e+07,11953.4,10859.6,1,30,5
20,40,5,4.1432e+07,12509.2,9899.63,1,30,5
20,50,5,9.592e+07,11792.3,10981.5,1,30,5
20,40,5,1.858e+07,13564.7,11275.7,1,30,5
30,54,5,8.6585e+07,18338,15499.5,1,30,5
30,56,5,7.6545e+07,20312.1,14287.7,1,30,5
30,56,5,5.8267e+07,16564.6,14514.8,1,30,5
30,64,5,1.63395e+08,18780,14716.7,2,30,5
30,62,5,8.2431e+07,18481.6,16378.3,1,30,5
40,80,5,2.2919e+08,24961.3,21296,1,30,5
40,80,5,2.03944e+08,24878.7,21638.8,1,30,5
40,82,5,2.43964e+08,23313.5,20151,1,30,5
40,70,5,1.67083e+08,23393.3,17963.7,2,30,5
40,82,5,2.48188e+08,21875.4,17955.8,1,30,5
50,110,5,7.27969e+08,31067.3,25314.3,2,30,5
50,98,5,3.79863e+08,29183.9,23006.9,1,30,5
50,92,5,2.00244e+08,27321.5,22239.9,1,30,5
50,110,5,5.67938e+08,31727.4,22524.6,2,30,5
50,96,5,4.99473e+08,30804.4,25057.6,1,30,5
60,136,5,1.08309e+09,39283.2,29960.9,1,30,5
60,124,5,6.46781e+08,34991.4,25916.7,2,30,5
60,128,5,9.34399e+08,37825.4,29004.9,2,30,5
60,114,5,6.49066e+08,33407.8,25981,2,30,5
60,124,5,8.9382e+08,35988,26977.3,1,30,5
70,140,5,1.54472e+09,38758.4,29126.4,2,30,5
70,138,5,1.27414e+09,36581,29002.2,2,30,5
70,150,5,1.50023e+09,39687.1,30885.3,1,30,5
70,154,5,2.14916e+09,40602.4,32563.9,3,30,5
70,164,5,1.9497e+09,43652.7,33376,2,30,5
80,158,5,2.27528e+09,44609,32363.5,1,30,5
80,162,5,2.31833e+09,44942.5,32751.8,1,30,5
80,164,5,2.60456e+09,46653.5,36472.9,2,30,5
80,170,5,2.6253e+09,44838.7,34738.3,1,30,5
80,160,5,2.05735e+09,45738.6,32428.7,2,30,5
90,198,5,4.1317e+09,52172.1,37174.2,3,30,5
90,188,5,2.93246e+09,50236.2,40326.6,3,30,5
90,182,5,3.61606e+09,55493,38636,2,30,5
90,200,5,4.46378e+09,52120.1,37719.8,2,30,5
90,200,5,3.78519e+09,51130.1,39685.8,2,30,5
100,180,5,3.94507e+09,53618.2,38769.3,4,30,5
100,202,5,4.95836e+09,57047.2,42547.2,3,30,5
100,190,5,3.98633e+09,62542.7,45415.3,1,30,5
100,200,5,3.78542e+09,54577.5,41897.5,1,30,5
100,212,5,5.05595e+09,59297.3,44915.7,2,30,5
110,234,5,7.55143e+09,62899.7,44027.8,2,30,5
110,220,5,5.97973e+09,54805.2,42833.6,3,30,5
110,222,5,4.6482e+09,68732.6,51326.9,2,30,5
110,234,5,7.50277e+09,65025.5,43466.1,3,30,5
110,224,5,5.25314e+09,64034,46913.3,2,30,5
120,244,5,7.5052e+09,69571.2,49817,1,30,5
120,234,5,7.41473e+09,72195.7,51139.7,5,30,5
120,230,5,7.04989e+09,71463.1,50106.6,1,30,5
120,246,5,7.93523e+09,66235.1,49528.1,4,30,5
120,246,5,6.65489e+09,66487.2,49287,3,30,5
130,250,5,8.80613e+09,73106,51398.6,4,30,5
130,248,5,9.90333e+09,75950.9,51560.2,4,30,5
130,260,5,9.06617e+09,70738.8,54076.1,3,30,5
130,274,5,1.16025e+10,71483,53726.2,3,30,5
130,262,5,9.04319e+09,73132.9,56125.9,2,30,5
140,292,5,1.32548e+10,80295,55066.8,3,30,5
140,294,5,1.33852e+10,75641.1,58292,1,30,5
140,282,5,1.24006e+10,77612,57280,5,30,5
140,272,5,1.27136e+10,74882.8,55089.6,3,30,5
140,284,5,1.24611e+10,72571.4,55044.9,5,30,5
10,20,5,1.1171e+07,5928.23,5390.73,1,40,5
10,22,5,1.2929e+07,7332.09,5587.39,1,40,5
10,20,5,8.948e+06,5625.38,5169.11,1,40,5
10,26,5,1.3069e+07,6751.18,5972.36,1,40,5
10,20,5,1.0128e+07,8128.46,6841.09,1,40,5
20,42,5,3.2625e+07,13523.3,11651.4,1,40,5
20,44,5,8.3042e+07,11953.4,10859.6,1,40,5
20,40,5,4.7282e+07,12509.2,11019.3,1,40,5
20,50,5,9.4439e+07,11792.3,11251,1,40,5
20,40,5,2.7071e+07,13564.7,11630.1,1,40,5
30,54,5,1.07642e+08,18338,16421.7,1,40,5
30,56,5,9.6693e+07,20312.1,14778.5,1,40,5
30,56,5,8.6236e+07,16564.6,14615.6,1,40,5
30,64,5,1.95932e+08,18780,15382.6,1,40,5
30,62,5,1.25758e+08,18481.6,15372.6,1,40,5
40,80,5,3.54733e+08,24961.3,19457.2,1,40,5
40,80,5,3.60761e+08,24878.7,21283.4,1,40,5
40,82,5,3.27292e+08,23313.5,18513.8,2,40,5
40,70,5,2.25596e+08,23393.3,17580.4,1,40,5
40,82,5,3.3348e+08,21875.4,18782.6,1,40,5
50,110,5,1.01657e+09,31067.3,24464.6,2,40,5
50,98,5,7.09312e+08,29183.9,21406.7,1,40,5
50,92,5,6.14093e+08,27321.5,21529.5,2,40,5
50,110,5,8.89697e+08,31727.4,22610.3,2,40,5
50,96,5,6.70143e+08,30804.4,25487.2,1,40,5
60,136,5,1.82772e+09,39283.2,30337.9,1,40,5
